sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms
1.2,2,CECO,HP,-1.452,90.95744681,0,28.0,442.0,0.0,442.0,11.0,79.0,68.0,2,249.4,268.1,260.3,0,1.5278,0,2020,October,7.4916,7.7139,0.2223,1,7.2472,4.0
1.2,8,ABCO,HP,-3.467,113.25012,0,34.5,60.0,15.0,75.0,11.0,95.0,69.0,1,236.1,266.8,243,85,2.6695,1,2020,October,7.618,8.0898,0.4718,1,7.2014,2.0
1.2,8,CADE,HP,-2.821,0,missing fresh weight and dry weight,27.0,33.0,31.0,64.0,31.0,131.0,69.0,1,245.3,249.8,235.9,0,2.8691,1,2020,October,0,0,0,1,12.0646,62.0
1.2,2,QUKE,EPI,-1.457,93.53233831,0,0.0,3.0,-15.0,-12.0,0.0,54.0,69.0,0,278.4,0,0,0,0.4543,1,2020,October,7.296,7.4088,0.1128,1,7.1754,0.0
1.2,2,ARPA,EPI,-1.859,110.7378401,0,5.0,3.0,42.0,45.0,4.0,117.0,71.0,1,263.8,276.8,253.4,0,0.5848,1,2020,October,7.7409,8.2782,0.5373,1,7.2557,-70106.0
1.2,3,CADE,HP,-0.994,133.4392375,0,29.0,81.0,17.0,98.0,14.0,108.0,77.0,1,271.4,272,254.6,0,3.171,1,2020,October,12.6789,13.3509,0.672,1,12.1753,-5853.0
1.2,6,CADE,HP,-3.296,88.58926342,0,44.0,93.0,0.0,93.0,10.0,90.0,80.0,1,245.3,283.4,254.5,0,2.1521,0,2020,October,12.5198,12.8746,0.3548,1,12.1193,-10659.0
1.2,4,CADE,HP,-1.909,116.722478,0,39.0,72.0,0.0,72.0,21.0,104.0,83.0,1,253.2,272.3,253.5,0,2.6004,0,2020,October,12.7698,13.3275,0.5577,1,12.292,3.0
1.2,2,ARPA,HP,-1.859,110.7378401,0,21.0,47.0,0.0,47.0,47.0,138.0,91.0,1,212.5,413.5,241.4,0,5.5904,0,2020,October,7.7409,8.2782,0.5373,1,7.2557,25.0
1.2,3,CECO,HP,-4.157,74.91313412,0,15.0,62.0,335.0,397.0,17.0,445.0,93.0,2,255.9,265.5,270.9,0,1.0977,1,2020,October,12.4801,12.6957,0.2156,1,12.1923,10.0
1.2,4,CECO,EPI,-3.229,221.3660975,0,8.5,13.0,19.0,32.0,7.0,119.0,93.0,1,270.6,299.5,279.5,0,0.5768,1,2020,October,12.3428,12.8743,0.5315,1,12.1027,-40631.0
1.2,5,ABCO,HP,-2.674,157.234315,0,29.0,57.0,0.0,57.0,13.0,107.0,94.0,1,267,343.6,228.8,0,3.0461,0,2020,October,7.4313,7.7997,0.3684,1,7.197,-3878.0
1.2,4,QUKE,EPI,-1.003,138.9121339,0,0.0,6.0,-60.0,-54.0,0.0,36.0,96.0,0,287.1,0,0,0,0.4497,1,2020,October,12.2956,12.6276,0.332,1,12.0566,0.0
1.2,7,PIJE,HP,-3.201,105.6876457,0,44.0,30.0,54.0,84.0,14.0,170.0,102.0,1,249.1,384.6,230,100,6.7602,1,2020,October,12.4574,12.6841,0.2267,1,12.2429,-6.0
1.2,5,QUKE,EPI,-8.3,0,missing wet and dry weights,0.0,12.0,-21.0,-9.0,0.0,82.0,103.0,0,280.3,0,0,0,0.4642,0,2020,October,0,0,0,1,7.2261,0.0
1.2,8,ARPA,HP,-5.802,72.67358626,0,30.0,28.0,0.0,28.0,17.0,123.0,106.0,1,276.7,302,262.6,0,2.7185,0,2020,October,7.7855,8.1916,0.4061,1,7.2267,10.0
1.2,3,CADE,HP,-0.994,133.4392375,0,36.0,81.0,16.0,97.0,14.0,144.0,114.0,1,271.4,272.9,254.6,0,3.171,1,2020,October,12.6789,13.3509,0.672,1,12.1753,2.0
1.2,4,ABCO,HP,-2.738,140.3123838,0,28.0,75.0,37.0,112.0,12.0,163.0,114.0,1,270,287.3,275.5,40,3.4589,1,2020,October,7.4728,7.8501,0.3773,1,7.2039,2.0
