author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Clarke et al,2014,NA,,,,litter bed: 70g,70,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Y,SR,
Santana and Marrs,2014,NA,,,,NA,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,tray,
Mola et al,2014,NA,,,,15g,15,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
Dehane et al,2015,25kW per m2; 225 C air temp.,225,25,,10 x 10cm (cork),,,100,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Della Rocca et al,2015,460 C,460,,,1g ,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Kauf et al ,2015,400 C surface temp,400,,,3g,3,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Parsons et al,2015,NA,,,,15g,15,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,
Burger and Bond,2015,"150 C, blowtorch as ignition source",150,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Calitz et al ,2015,"150 C, blowtorch as ignition source",150,,,~50cm,,50,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Grootemaat et al,2015,400 C,400,,,individual leaf specimens',,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Manea et al,2015,400 C,400,,,3cm2,,,9,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Dehane et al,2015,25kW per m2,,25,,cork,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Y,MLC,
Della Rocca et al,2015,35 and 50 kW per m2 for live fuel and litter samples (respectively),,35,50,10g,10,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Y,MLC,
Della Rocca et al,2015,Described in ISO 1716,,,,1 g,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
Blauw et al,2015,no fixed temp.,,,,"~1.5L; 25cm diameter, 3cm height",,,,4626.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,SR,
Cornwell et al,2015,NA,,,,25cm diameter x 6cm deep (mixed) or 3.5cm deep (single species),,,,7325.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,SR,Sample volume is average between mixed samples (6cm deep) and single species (3.5cm deep)
Belcher,2016,30 kW per m2,,30,,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,
Fenesi et al ,2016,160 C and 210 C (for slow and fast combustion setups),160,,210,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Ghermandi et al,2016,420 C; 500W,420,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Pausas et al,2016,500 W; 660-700 C,680,63.66,,0.36 +/- 0.08 g (mean +/- SD),0.36,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Simpson et al,2016,370-400 C; 500W,385,63.66,,0.2g,0.2,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Jervis and Rein,2016,NA,,,,8g,8,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,FPA,
Wyse et al,2016,100-160 C,130,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Mason et al,2016,400-430 C,415,,,individual leaf specimens',,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Zhao et al,2016,NA,,,,25cm diameter x 3cm deep,,,,4626.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,SR,
Belcher and Hudspith,2017,50 kW per m2,,50,,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,iCone calorimeter (newer automated cone calorimeter); tested branch and litter bed flammability
Della Rocca et al,2017,460 C,460,,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Essaghi et al,2017,600 C; 500W,600,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Molina et al,2017,460 C surface temp,460,,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Battersby ,2017,100-160 C,130,,,60cm,,60,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Grootemaat et al,2017,400 C,400,,,NA,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Dehane et al,2017,50 kW per m2,,50,,10g,10,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,
McAllister and Weise,2017,50 kW per m2,,50,,2g,2,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Varner et al,2017,NA,,,,15g,15,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
Molina et al ,2018,460 C surface temp,460,,,NA,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Della Rocca et al,2018,NA,,,,40x40cm,,,1600,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Y,FB,
Padulles et al ,2018,"150 C, blowtorch as ignition source",150,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Wyse et al,2018,100-160 C,130,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Krix and Murray,2018,700 C,700,,,individual leaf specimens',,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Della Rocca et al,2018,50 kW per m2,,60,,10g,10,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Y,MLC,
Kauf et al,2018,90 kW per m2; ignition source is handheld spark generator,,90,,20g,20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,other,"specialized flam. Chamber; litter loaded into a wire basket, headed with an IR lamp, large chamber"
Zhao et al,2019,NA,,,,NA,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,SR,
Bianchi et al,2019,500W constant nominal power rating,,63.66,,1 +/- 0.1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Molina et al,2019,460 C surface temp,460,,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Romero et al,2019,500 W,,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Dent et al,2019,100-160 C,130,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Santacruz-Garcia et al,2019,150 C,150,,,70cm,,70,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Krix et al,2019,700 C,700,,,individual leaf specimens',,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Madrigal et al,2019,25 kW per m2,,25,,NA,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,
Dewhirst et al ,2020,50 kW per m2,,50,,5-8g,6.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,CC,iCone calorimeter (newer automated cone calorimeter); tested branch and litter bed flammability
Ormeno et al ,2020,420 C; 500W,420,63.66,,epi: 0.5g,0.5,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Alam et al,2020,"150 C, blowtorch as ignition source",150,,,70 cm,,70,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Y,grill,
Cui et al ,2020,"150 C, blowtorch as ignition source",150,,,~70cm,,70,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Hawthorne,2020,185 C avg temp,185,,,70cm,,70,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Alam et al,2020,400-430 C,415,,,single leaf,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MF,
Michelaki et al,2020,"Start at 60 C, end after three phases of burning ",,,,1g,1,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Della Rocca et al,2020,50 kW per m2,,50,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,
Ormeno et al ,2020,NA,,,,bomb: 1g,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
