individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_CECO_1.6,1.6,5,"2020_October_EPI_CECO_(80,90]",CECO,EPI,4.08,0,0.5,14,27,35,4,171,106,1,278.2,296.9,295.6,NA,0.4601,1,2020_October,2020,October,7.4486,7.6253,0.1767,1,83.7044055,83.7044055,"(80,90]",2020_October,0.61,Dry,1,57,2.5,moderate,"(80,85]","(80,90]","(80,100]",18.69999999999999,0.9768271412272304,0.8370440549999999,42.153933220147145,10.554308225147858,-0.138,seki
2020_October_CECO_1.6,1.6,2,"2020_October_EPI_CECO_(100,110]",CECO,EPI,0.73,0,7,11,10,21,4,138,124,1,267.9,279.2,252,NA,0.5065,1,2020_October,2020,October,7.5927,7.9354,0.3427,1,105.0582465,105.0582465,"(100,110]",2020_October,0.61,Dry,1,31,2.5,hydrated,"(105,110]","(100,110]","(100,120]",11.300000000000011,0.95681377120246,1.050582465,22.155529617741465,16.137724855093985,-0.138,seki
2020_October_CECO_1.6,1.6,7,"2020_October_EPI_CECO_(80,90]",CECO,EPI,5.326,0,7,2,27,35,7,208,130,1,276.9,373.2,306.6,NA,0.6111,1,2020_October,2020,October,12.7826,13.193,0.4104,1,86.60054864,86.60054864,"(80,90]",2020_October,0.61,Dry,1,57,1.4285714285714286,moderate,"(85,90]","(80,90]","(80,100]",96.3,0.96889259455772,0.8660054864,31.146686159844055,13.348488460386385,-0.138,seki
2020_October_CECO_2.1,2.1,7,"2020_October_EPI_CECO_(20,30]",CECO,EPI,9,0,13,9,27,22,20,122,88,1,274.6,399.1,275.8,NA,0.5794,0,2020_October,2020,October,12.397,12.4813,0.0843,2,24.51293981,24.51293981,"(20,30]",2020_October,0.61,Dry,1,100,0.5,dry,"(20,25]","(20,30]","(20,40]",124.5,0.993245895860207,0.2451293981,147.05812574139978,18.150462306917504,-0.311,seki
2020_October_CECO_2.1,2.1,1,"2020_October_EPI_CECO_(100,110]",CECO,EPI,0.311,0,9,17,40,57,7,133,86,1,268.9,296.4,290.3,NA,0.504,1,2020_October,2020,October,7.4677,7.7115,0.2438,2,107.4008811,107.4008811,"(100,110]",2020_October,0.61,Dry,1,31,1.4285714285714286,hydrated,"(105,110]","(100,110]","(100,120]",27.5,0.968384879725086,1.074008811,30.630434782608695,11.82467824743842,-0.311,seki
2020_October_CECO_2.1,2.1,6,"2020_October_EPI_CECO_(60,70]",CECO,EPI,3.995,0,4,12,10,22,3,124,111,1,271.9,291.7,257.7,NA,0.4205,1,2020_October,2020,October,7.5347,7.7406,0.2059,2,63.10144039,63.10144039,"(60,70]",2020_October,0.61,Dry,1,64,3.3333333333333335,moderate,"(60,65]","(60,70]","(60,80]",19.80000000000001,0.973399994832442,0.6310144039,36.59397765905779,14.46053630009166,-0.311,seki
2020_October_CECO_2.1,2.1,5,"2020_October_EPI_CECO_(60,70]",CECO,EPI,7.167,0,5,9,34,43,8,187,153,1,275.6,284.5,281.8,NA,0.4177,1,2020_October,2020,October,7.4253,7.5645,0.1392,2,63.94120349,63.94120349,"(60,70]",2020_October,0.61,Dry,1,64,1.25,moderate,"(60,65]","(60,70]","(60,80]",8.899999999999977,0.9815982550069404,0.6394120349,53.34267241379311,11.673749424613732,-0.311,seki
2020_October_CECO_2.2,2.2,3,"2020_October_EPI_CECO_(60,70]",CECO,EPI,3.898,0,11,5,32,37,11,68,25,1,272.7,336.7,278.2,NA,0.4106,1,2020_October,2020,October,12.3457,12.4841,0.1384,2,68.0432645,68.0432645,"(60,70]",2020_October,0.61,Dry,1,64,0.9090909090909092,moderate,"(65,70]","(60,70]","(60,80]",64,0.9889138984788652,0.6804326450000001,89.20303468208094,14.390578667819277,-0.199,seki
2020_October_CECO_2.2,2.2,1,"2020_October_EPI_CECO_(110,120]",CECO,EPI,0.199,0,5,6,30,36,12,110,68,1,250.6,294.1,268.1,NA,0.5155,1,2020_October,2020,October,7.4614,7.7623,0.3009,2,113.4615385,113.4615385,"(110,120]",2020_October,0.61,Dry,1,14,0.8333333333333334,hydrated,"(110,115]","(110,120]","(100,120]",43.50000000000003,0.9612357162181312,1.134615385,24.796942505815885,12.450753064626555,-0.199,seki
2020_October_CECO_2.2,2.2,6,"2020_October_EPI_CECO_(40,50]",CECO,EPI,9,0,13.8,11,14,25,15,97,68,1,286.4,404.4,310.5,NA,0.4814,1,2020_October,2020,October,7.5092,7.647,0.1378,2,45.84165003,45.84165003,"(40,50]",2020_October,0.61,Dry,1,75,0.6666666666666666,dry,"(45,50]","(40,50]","(40,60]",118,0.9819798613835492,0.4584165003,54.49346879535558,17.559428846605023,-0.199,seki
